full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,da_dt,SNR,FAccept
(2012 BB124),3597095.0,1,1,1.15,0.211,15.8,0.911,1.4,453.0,0.794,299.0,21.1,,,,0.00290486,18.1012,1
(2011 EP51),3559843.0,1,0,0.829,0.308,3.43,0.574,1.08,276.0,1.31,31.9,25.2,,,,-0.0168164,17.4797,1
(2003 YL118),3170231.0,1,1,1.13,0.486,7.61,0.581,1.68,439.0,0.819,133.0,21.6,,,,-0.00905692,16.6995,1
827991 (2002 XQ40),20827991.0,1,0,1.08,0.351,2.19,0.698,1.45,407.0,0.884,272.0,22.4,,,,-0.00462836,16.6072,1
(2009 WB105),3479013.0,1,0,0.826,0.253,38.4,0.617,1.03,274.0,1.31,315.0,23.5,,,,0.00688506,16.356,1
364136 (2006 CJ),20364136.0,1,1,0.677,0.755,10.2,0.166,1.19,203.0,1.77,16.9,20.19,,,,-0.00367582,16.2965,1
138175 (2000 EE104),20138175.0,1,1,1.0,0.293,5.23,0.709,1.3,367.0,0.98,84.8,20.49,,,13.324,-0.00446822,16.181,1
(2012 GA5),3602525.0,1,0,1.14,0.0665,7.3,1.07,1.22,446.0,0.807,322.0,24.19,,,,-0.00430032,15.9548,0
(2016 GW221),3752012.0,1,0,0.828,0.267,3.76,0.607,1.05,275.0,1.31,70.5,24.75,,,0.2856,-0.00735097,15.8746,1
(2007 TF68),3388356.0,1,0,1.41,0.266,26.2,1.03,1.78,609.0,0.591,271.0,22.62,,,,-0.00805496,15.7171,1
185851 (2000 DP107),20185851.0,1,1,1.37,0.377,8.67,0.851,1.88,583.0,0.618,309.0,18.31,0.863,0.137,2.7754,0.000407794,15.4078,1
(2010 GD35),3515692.0,1,0,0.764,0.481,7.82,0.397,1.13,244.0,1.47,273.0,24.62,,,,0.011357,15.2811,1
(2018 KR),3824981.0,1,0,0.885,0.208,1.16,0.701,1.07,304.0,1.18,217.0,26.39,,,,-0.0101639,14.9333,1
450237 (2002 XY38),20450237.0,1,0,0.911,0.218,2.12,0.713,1.11,318.0,1.13,294.0,23.18,0.096,0.134,,-0.00526751,14.9304,1
85990 (1999 JV6),20085990.0,1,1,1.01,0.312,5.36,0.695,1.32,370.0,0.972,341.0,20.27,0.451,0.095,6.538,-0.0014786,14.4802,1
(2004 JN1),3182169.0,1,0,1.09,0.176,1.5,0.895,1.28,413.0,0.872,79.0,23.74,,,,-0.0164312,14.27,0
(2011 CL50),3557536.0,1,0,0.882,0.146,0.187,0.754,1.01,303.0,1.19,111.0,27.3,,,,0.194959,14.0674,0
(2003 AF23),3146499.0,1,1,0.874,0.426,23.2,0.502,1.25,299.0,1.21,78.2,21.01,,,19.89,-0.00246719,13.7747,1
(2001 BB16),3071939.0,1,0,0.855,0.172,2.03,0.708,1.0,289.0,1.25,303.0,23.2,,,,0.0153562,13.4988,0
139359 (2001 ME1),20139359.0,1,1,2.63,0.87,5.96,0.343,4.93,1560.0,0.231,231.0,16.52,,,,-0.0275336,13.3378,0
(2000 TU28),3050517.0,1,1,1.07,0.183,15.6,0.877,1.27,406.0,0.887,134.0,21.05,,,128.5,-0.00349841,13.316,1
1862 Apollo (1932 HA),20001862.0,1,1,1.47,0.56,6.35,0.647,2.29,652.0,0.552,114.0,16.08,1.5,0.25,3.065,-0.000190871,13.1678,1
363599 (2004 FG11),20363599.0,1,1,1.59,0.724,3.13,0.438,2.73,730.0,0.493,267.0,21.05,0.152,0.306,7.021,-0.00451215,12.8028,1
326354 (2000 SJ344),20326354.0,1,0,1.14,0.175,5.75,0.941,1.34,445.0,0.809,222.0,22.78,,,,-0.0062738,12.7025,1
401885 (2001 RV17),20401885.0,1,0,0.915,0.342,7.53,0.602,1.23,320.0,1.13,87.4,20.42,,,,-0.00240239,12.5853,1
477719 (2010 SG15),20477719.0,1,0,2.08,0.476,0.828,1.09,3.07,1090.0,0.329,12.8,25.26,,,,-0.00683813,12.1676,1
(2014 RQ17),3687148.0,1,0,1.77,0.443,3.66,0.985,2.55,858.0,0.42,254.0,22.3,,,0.5216,-0.00164974,12.1279,1
363027 (1998 ST27),20363027.0,1,1,0.82,0.53,21.1,0.386,1.25,271.0,1.33,88.4,19.58,0.578,0.059,3.0,0.00098515,12.0667,1
350462 (1998 KG3),20350462.0,1,0,1.16,0.117,5.51,1.02,1.29,456.0,0.79,108.0,22.1,,,13.335,-0.00279628,12.036,1
612600 (2003 SM84),20612600.0,1,0,1.13,0.082,2.8,1.03,1.22,436.0,0.826,279.0,23.02,,,,-0.00711312,11.895,1
1566 Icarus (1949 MA),20001566.0,1,1,1.08,0.827,22.8,0.186,1.97,409.0,0.881,153.0,16.53,1.0,0.51,2.2726,-0.00050242,11.5149,1
468468 (2004 KH17),20468468.0,1,1,0.712,0.498,22.1,0.357,1.07,220.0,1.64,112.0,22.01,0.197,0.072,,-0.00435601,11.4344,1
(2016 TH94),3762462.0,1,0,0.827,0.373,23.1,0.519,1.14,275.0,1.31,276.0,24.58,,,,-0.0125928,11.3698,1
399308 (1993 GD),20399308.0,1,0,1.1,0.238,15.5,0.84,1.36,423.0,0.852,201.0,20.62,,,,0.00300008,11.2753,1
613569 (2006 TU7),20613569.0,1,1,0.851,0.47,2.95,0.451,1.25,287.0,1.25,24.7,21.95,,,,0.00696277,11.1681,1
(2007 TF15),3387609.0,1,0,1.11,0.0444,4.26,1.06,1.16,426.0,0.845,337.0,24.69,,,,-0.00921977,10.9877,1
437844 (1999 MN),20437844.0,1,1,0.674,0.665,2.03,0.226,1.12,202.0,1.78,108.0,21.01,,,5.495,0.00323598,10.8883,1
613995 (2008 NP3),20613995.0,1,0,1.0,0.334,1.43,0.669,1.34,368.0,0.978,4.28,22.85,0.193,0.023,,-0.00952346,10.8684,0
(2016 PF8),3756949.0,1,1,1.13,0.563,5.67,0.494,1.77,439.0,0.821,329.0,21.43,,,,0.0102822,10.8377,0
(2015 EG),3712904.0,1,0,0.863,0.356,2.5,0.556,1.17,293.0,1.23,232.0,25.61,,,1.29,-0.0100834,10.7628,1
612094 (1999 NW2),20612094.0,1,0,1.12,0.109,8.68,0.995,1.24,431.0,0.836,80.0,23.27,,,4.2,-0.00342475,10.4081,1
265482 (2005 EE),20265482.0,1,1,1.13,0.328,6.17,0.759,1.5,438.0,0.822,183.0,21.21,,,2.6534,0.00396322,10.2954,1
85953 (1999 FK21),20085953.0,1,0,0.739,0.703,12.6,0.219,1.26,232.0,1.55,259.0,18.09,0.59,0.32,28.08,-0.00137951,10.259,1
(2021 GM1),54134666.0,1,0,0.978,0.0255,1.18,0.953,1.0,353.0,1.02,72.9,30.4,,,,-0.487617,10.2168,0
(2018 HG2),3819574.0,1,0,1.19,0.33,14.3,0.801,1.59,477.0,0.754,352.0,24.26,,,,-0.0186273,9.92841,0
264357 (2000 AZ93),20264357.0,1,1,0.747,0.36,8.59,0.478,1.02,236.0,1.53,202.0,21.17,0.113,0.037,,-0.00272009,9.89259,1
(2017 OU18),3778624.0,1,0,0.826,0.377,30.4,0.514,1.14,274.0,1.31,206.0,23.98,,,,0.0050893,9.8386,1
(2005 RZ2),3289743.0,1,0,1.11,0.103,13.2,0.992,1.22,425.0,0.847,47.3,23.3,,,,-0.00509821,9.74206,1
326290 Akhenaten (1998 HE3),20326290.0,1,1,0.879,0.44,3.38,0.492,1.27,301.0,1.2,63.6,21.83,,,,-0.00178066,9.73762,1
216985 (2000 QK130),20216985.0,1,1,1.18,0.262,4.72,0.871,1.49,469.0,0.768,305.0,21.34,,,,0.00445685,9.60581,1
(1996 AE2),3008362.0,1,0,1.37,0.257,37.4,1.02,1.72,584.0,0.616,270.0,20.23,,,,0.00205404,9.53058,1
488453 (1994 XD),20488453.0,1,1,2.34,0.734,4.33,0.624,4.06,1310.0,0.275,233.0,19.24,,,2.7365,0.00137359,9.42848,1
(2009 OS5),3465236.0,1,0,1.15,0.0994,1.71,1.03,1.26,449.0,0.801,146.0,24.4,,,,-0.0130499,9.36705,1
613862 (2007 UY1),20613862.0,1,0,0.949,0.176,1.02,0.782,1.12,338.0,1.07,302.0,23.1,,,,-0.00819709,9.34229,1
(2005 VL1),3297629.0,1,0,0.891,0.225,0.236,0.691,1.09,307.0,1.17,49.7,26.45,,,,-0.0102745,9.29348,1
3361 Orpheus (1982 HR),20003361.0,1,1,1.21,0.323,2.65,0.819,1.6,486.0,0.74,321.0,19.54,0.3,0.357,3.5327,0.000860842,9.1828,1
481442 (2006 WO3),20481442.0,1,0,0.8,0.447,21.2,0.442,1.16,261.0,1.38,346.0,21.58,,,,-0.00335774,9.16048,1
216523 (2001 HY7),20216523.0,1,1,0.914,0.412,5.21,0.537,1.29,319.0,1.13,181.0,20.7,,,0.042,0.00205604,9.07319,1
(2000 EM26),3092253.0,1,0,0.817,0.467,3.84,0.436,1.2,270.0,1.33,60.6,22.51,,,,-0.00991324,9.05691,1
297418 (2000 SP43),20297418.0,1,1,0.812,0.467,10.3,0.433,1.19,267.0,1.35,250.0,18.52,0.407,0.388,6.314,-0.00130648,9.05574,1
(2008 DB),3403149.0,1,0,1.05,0.233,4.22,0.808,1.3,395.0,0.912,211.0,25.8,,,,-0.0588542,8.98008,0
455176 (1999 VF22),20455176.0,1,1,1.31,0.739,3.92,0.343,2.28,549.0,0.655,146.0,20.71,,,6.681,-0.00393878,8.97815,1
162004 (1991 VE),20162004.0,1,0,0.891,0.665,7.22,0.299,1.48,307.0,1.17,263.0,18.29,,,13.4895,0.00204832,8.92505,0
99907 (1989 VA),20099907.0,1,0,0.728,0.595,28.8,0.295,1.16,227.0,1.59,156.0,17.94,1.4,,2.5246,0.00126128,8.87919,1
310842 (2003 AK18),20310842.0,1,0,0.877,0.384,7.4,0.54,1.21,300.0,1.2,64.7,19.83,,,5.3257,-0.00200148,8.82553,1
4179 Toutatis (1989 AC),20004179.0,1,1,2.54,0.625,0.448,0.954,4.13,1480.0,0.243,76.9,15.29,5.4,0.405,176.0,-0.000272046,8.80362,1
(2021 UN7),54214728.0,1,0,0.999,0.393,20.3,0.606,1.39,365.0,0.987,97.0,23.36,,,,-0.0142823,8.70696,1
(2013 GZ7),3634186.0,1,0,1.41,0.192,5.28,1.14,1.67,609.0,0.591,213.0,24.0,,,,-0.00244837,8.67344,0
796478 (2009 WF),20796478.0,1,0,1.39,0.329,15.8,0.93,1.84,596.0,0.604,338.0,19.78,,,,0.00992309,8.57314,0
330659 (2008 GG2),20330659.0,1,0,1.59,0.278,13.0,1.15,2.03,730.0,0.493,292.0,23.01,,,,0.00318565,8.5627,1
175706 (1996 FG3),20175706.0,1,1,1.05,0.35,1.97,0.685,1.42,396.0,0.91,36.7,18.3,1.196,0.072,3.5942,-0.00056997,8.52809,1
480820 (1998 VF32),20480820.0,1,1,0.851,0.444,23.7,0.473,1.23,287.0,1.26,46.6,20.97,,,,0.00158394,8.52426,1
2062 Aten (1976 AA),20002062.0,1,0,0.967,0.183,18.9,0.79,1.14,347.0,1.04,32.6,17.11,1.1,0.26,42.15,-0.000628154,8.3266,1
10302 (1989 ML),20010302.0,1,0,1.27,0.137,4.38,1.1,1.45,524.0,0.686,122.0,19.44,,,19.2406,0.00172402,8.28429,1
595116 (2001 QE96),20595116.0,1,0,1.31,0.0281,7.27,1.27,1.35,548.0,0.657,320.0,22.77,,,,-0.00505709,8.23323,1
796120 (2009 EM1),20796120.0,1,0,2.53,0.554,18.0,1.13,3.93,1470.0,0.245,61.2,23.0,,,,-0.0118362,8.12912,0
385186 (1994 AW1),20385186.0,1,1,1.1,0.0756,24.1,1.02,1.19,424.0,0.849,295.0,17.64,0.811,0.223,2.5193,0.000486579,8.04111,1
470975 (2009 SC15),20470975.0,1,0,1.26,0.179,6.84,1.04,1.49,520.0,0.693,341.0,21.43,,,10.354,-0.00449069,8.01081,1
510529 (2012 EY11),20510529.0,1,1,1.15,0.151,9.02,0.975,1.32,450.0,0.801,145.0,21.58,,,,-0.00543073,7.8887,1
(2014 WF497),3701710.0,1,0,1.11,0.222,28.4,0.864,1.36,427.0,0.843,232.0,20.34,,,,0.00728239,7.84094,0
(1997 YM9),3092168.0,1,0,1.1,0.104,7.84,0.982,1.21,419.0,0.859,82.7,24.36,,,,0.00413127,7.77885,1
(1999 UQ),3092237.0,1,0,1.09,0.0156,24.8,1.08,1.11,418.0,0.861,92.4,21.87,,,,-0.00414999,7.72624,1
(1994 WR12),3005969.0,1,0,0.757,0.397,6.85,0.456,1.06,240.0,1.5,153.0,22.4,,,,-0.0108863,7.71719,1
348306 (2005 AY28),20348306.0,1,1,0.873,0.57,5.88,0.375,1.37,298.0,1.21,92.3,21.55,,,,-0.00473218,7.70322,1
412976 (1987 WC),20412976.0,1,0,1.36,0.234,15.8,1.04,1.68,581.0,0.62,5.03,19.9,,,,0.0026462,7.68081,1
363505 (2003 UC20),20363505.0,1,1,0.781,0.337,3.78,0.518,1.04,252.0,1.43,118.0,18.47,1.876,0.029,29.6,-0.000424475,7.67475,1
499998 (2011 PT),20499998.0,1,0,1.32,0.217,2.22,1.03,1.6,551.0,0.653,140.0,24.01,,,,-0.00873178,7.60122,1
164207 Cardea (2004 GU9),20164207.0,1,1,1.0,0.136,13.7,0.865,1.14,366.0,0.984,97.3,21.19,0.163,0.219,,-0.00267124,7.5838,1
6489 Golevka (1991 JX),20006489.0,1,1,2.48,0.619,2.26,0.944,4.01,1420.0,0.253,252.0,19.22,0.53,0.151,6.026,-0.00053018,7.5648,1
(2000 AA6),3025766.0,1,1,1.29,0.519,2.03,0.618,1.95,533.0,0.676,219.0,22.44,0.316,0.026,,0.00714094,7.54133,0
152671 (1998 HL3),20152671.0,1,1,1.13,0.366,2.68,0.716,1.54,438.0,0.822,255.0,20.24,0.298,0.2,,-0.00229334,7.44456,1
(2022 QX4),54297628.0,1,0,0.681,0.505,0.138,0.337,1.02,205.0,1.75,99.7,24.7,,,0.088812,-0.0287727,7.43526,1
350523 (2000 EA14),20350523.0,1,1,1.12,0.203,3.56,0.891,1.34,432.0,0.834,13.6,21.16,,,,0.00282663,7.39171,1
467351 (2003 KO2),20467351.0,1,1,0.728,0.511,23.5,0.356,1.1,227.0,1.59,266.0,20.36,,,6.48,0.00205213,7.3877,1
494710 (2005 MO13),20494710.0,1,1,0.863,0.411,6.32,0.509,1.22,293.0,1.23,23.1,20.75,,,,-0.00308348,7.33376,1
(2018 GY),3802409.0,1,0,0.767,0.406,8.75,0.455,1.08,245.0,1.47,298.0,24.83,,,,-0.017828,7.32496,1
334412 (2002 EZ2),20334412.0,1,0,1.25,0.046,13.0,1.19,1.31,510.0,0.706,149.0,20.32,,,34.077,-0.00209749,7.25588,1
(2012 UK171),3615463.0,1,0,0.859,0.223,1.29,0.667,1.05,291.0,1.24,272.0,24.46,,,,-0.00223149,7.11592,1
416151 (2002 RQ25),20416151.0,1,0,1.11,0.306,4.57,0.771,1.45,428.0,0.841,10.7,20.67,,,12.191,0.00267955,7.10448,1
154590 (2003 MA3),20154590.0,1,1,1.11,0.402,1.42,0.661,1.55,424.0,0.848,36.3,21.7,0.086,0.53,,-0.00410863,7.08648,1
(2015 KJ19),3719475.0,1,0,2.08,0.745,2.55,0.531,3.63,1100.0,0.328,198.0,22.51,,,,0.0168665,7.05943,1
747011 (2012 PG6),20747011.0,1,0,0.837,0.616,6.53,0.321,1.35,280.0,1.29,356.0,20.24,,,10.58,0.00513801,7.05692,1
(2018 KC2),3825017.0,1,0,1.16,0.232,4.48,0.892,1.43,457.0,0.787,109.0,22.89,,,,0.0127863,7.00829,0
(2005 TF49),3293832.0,1,1,1.04,0.0254,24.5,1.02,1.07,389.0,0.926,34.7,19.05,,,,-0.0013109,6.96683,0
(2012 HL31),3603128.0,1,0,0.888,0.374,19.8,0.556,1.22,305.0,1.18,226.0,22.43,,,,-0.00657734,6.94347,1
(2010 VK139),3551475.0,1,0,0.78,0.282,27.0,0.56,1.0,252.0,1.43,103.0,23.71,0.055,0.196,0.0299522,-0.00769662,6.93912,1
66400 (1999 LT7),20066400.0,1,0,0.855,0.573,9.06,0.366,1.35,289.0,1.25,25.6,19.27,0.411,0.182,,-0.00166537,6.87266,1
(2021 FR1),54132420.0,1,0,1.08,0.392,6.96,0.658,1.5,411.0,0.876,320.0,22.39,,,,-0.0581567,6.86624,0
422686 (2000 AC6),20422686.0,1,1,0.854,0.287,4.7,0.609,1.1,288.0,1.25,115.0,21.63,0.176,0.143,2.4437,0.00198186,6.8016,1
357622 (2005 EY95),20357622.0,1,1,1.08,0.538,3.17,0.5,1.67,412.0,0.874,187.0,20.32,,,3.925,-0.00234372,6.76375,1
(2012 UU136),3614397.0,1,1,1.16,0.212,35.6,0.914,1.41,456.0,0.789,269.0,21.45,,,,0.00404558,6.73409,0
(2000 CK59),3031776.0,1,0,1.48,0.311,5.71,1.02,1.94,655.0,0.549,137.0,24.1,,,,-0.00715646,6.69078,1
283457 (2001 MQ3),20283457.0,1,0,2.24,0.455,5.57,1.22,3.25,1220.0,0.295,91.6,19.1,,,,-0.00197923,6.66898,1
424392 (2007 YJ),20424392.0,1,0,1.1,0.28,3.31,0.795,1.41,423.0,0.851,39.4,22.12,0.239,0.054,,-0.00712048,6.65166,1
(2011 PU1),3574830.0,1,0,1.3,0.246,4.36,0.983,1.62,544.0,0.662,236.0,25.6,,,,-0.0175863,6.64329,1
492143 (2013 OE),20492143.0,1,0,2.03,0.509,9.79,0.998,3.07,1060.0,0.34,7.92,17.65,,,77.51,0.0108178,6.60596,0
(2010 XX72),3554011.0,1,0,0.903,0.284,4.47,0.647,1.16,314.0,1.15,330.0,22.06,,,,-0.00778087,6.56716,1
2101 Adonis (1936 CA),20002101.0,1,1,1.87,0.764,1.32,0.442,3.31,937.0,0.384,24.5,18.69,0.6,,,-0.00230349,6.52888,1
4581 Asclepius (1989 FC),20004581.0,1,1,1.02,0.357,4.92,0.658,1.39,378.0,0.953,233.0,20.74,,,8.008,-0.0017353,6.5205,1
(2015 XC352),3736678.0,1,0,1.02,0.146,4.48,0.867,1.16,374.0,0.964,173.0,25.82,,,,-0.032304,6.49438,0
(2011 JW10),3565395.0,1,0,1.31,0.215,21.6,1.03,1.59,548.0,0.657,193.0,23.14,,,,-0.00790606,6.4875,1
69230 Hermes (1937 UB),20069230.0,1,1,1.66,0.624,6.07,0.622,2.69,778.0,0.463,105.0,17.68,,,13.894,-0.000615884,6.44867,1
(1994 GL),3092124.0,1,0,0.683,0.504,3.68,0.339,1.03,206.0,1.74,163.0,25.5,,,,0.0305503,6.41526,1
33342 (1998 WT24),20033342.0,1,1,0.719,0.418,7.37,0.419,1.02,223.0,1.62,315.0,18.02,0.432,0.654,3.697,-0.00149289,6.41312,1
(2020 FW6),54016425.0,1,0,1.31,0.299,25.5,0.92,1.7,548.0,0.656,211.0,23.22,,,,-0.00528521,6.40618,1
506590 (2005 XB1),20506590.0,1,0,1.13,0.419,8.71,0.658,1.61,440.0,0.819,292.0,21.97,0.099,0.287,,0.00540607,6.34839,1
481965 (2009 EB1),20481965.0,1,0,1.11,0.454,12.5,0.604,1.61,425.0,0.847,324.0,20.69,,,,-0.00277187,6.34407,1
388188 (2006 DP14),20388188.0,1,1,1.36,0.776,11.8,0.305,2.42,582.0,0.618,164.0,19.0,,,5.7868,-0.00299619,6.3002,1
163000 (2001 SW169),20163000.0,1,0,1.25,0.0514,3.55,1.18,1.31,509.0,0.707,168.0,19.25,,,69.97,-0.00132922,6.29943,1
467460 (2006 JF42),20467460.0,1,1,0.672,0.582,5.94,0.281,1.06,201.0,1.79,304.0,19.05,,,13.98,0.00268474,6.24528,1
162361 (2000 AF6),20162361.0,1,1,0.876,0.411,2.71,0.516,1.24,299.0,1.2,310.0,20.24,,,3.4558,0.00162261,6.21684,1
(2007 RY19),3384484.0,1,0,1.11,0.253,12.6,0.827,1.39,426.0,0.846,147.0,22.75,,,,-0.00537468,6.07836,1
4034 Vishnu (1986 PA),20004034.0,1,1,1.06,0.444,11.2,0.589,1.53,398.0,0.904,262.0,18.49,0.42,0.52,44.4,-0.00184073,6.01408,1
163023 (2001 XU1),20163023.0,1,0,0.797,0.546,27.1,0.362,1.23,260.0,1.38,350.0,19.52,,,,0.00308809,5.96396,1
612358 (2002 JE9),20612358.0,1,1,1.07,0.417,8.77,0.622,1.51,402.0,0.896,200.0,21.4,,,,-0.00392106,5.95574,1
467336 (2002 LT38),20467336.0,1,1,0.845,0.314,6.18,0.58,1.11,284.0,1.27,268.0,20.61,,,14.95,0.00149077,5.93406,1
(2006 KS1),3333612.0,1,0,1.47,0.315,3.65,1.01,1.93,651.0,0.553,6.85,25.41,,,,0.239572,5.92369,0
745311 (2010 XC15),20745311.0,1,1,0.732,0.42,8.24,0.425,1.04,229.0,1.57,95.6,21.48,,,2.673,-0.00978819,5.91649,1
(2015 TC25),3729281.0,1,0,1.03,0.116,3.74,0.909,1.15,381.0,0.945,181.0,29.34,,,0.03715,4.64561,5.89253,0
242191 (2003 NZ6),20242191.0,1,0,0.793,0.492,18.2,0.403,1.18,258.0,1.39,132.0,19.02,0.37,0.334,13.531,0.00163719,5.89041,1
8014 (1990 MF),20008014.0,1,1,1.75,0.456,1.87,0.951,2.54,844.0,0.427,102.0,18.88,0.7,,50.09,-0.000974993,5.85012,1
310442 (2000 CH59),20310442.0,1,1,0.862,0.423,3.26,0.497,1.23,292.0,1.23,218.0,19.82,,,6.0542,0.00213081,5.81599,1
613471 (2006 RJ1),20613471.0,1,0,0.95,0.3,1.41,0.665,1.24,338.0,1.06,20.0,22.27,,,,-0.00919667,5.81405,1
452334 (2001 LB),20452334.0,1,0,1.24,0.189,20.8,1.0,1.47,502.0,0.717,325.0,21.08,,,,-0.00104343,5.81136,1
337248 (2000 RH60),20337248.0,1,0,0.826,0.551,19.6,0.371,1.28,274.0,1.31,21.5,20.08,0.846,0.025,25.2,-0.0024044,5.80881,0
(1998 KY26),3012392.0,1,0,1.23,0.2,1.49,0.983,1.47,498.0,0.724,0.983,25.91,0.011,0.52,0.089193,-0.00917058,5.79882,1
(2014 WF201),3698475.0,1,0,1.11,0.111,8.5,0.988,1.23,428.0,0.841,171.0,25.59,,,0.4743,-0.0906285,5.72115,0
(2019 QU2),3843622.0,1,0,0.824,0.705,11.3,0.243,1.4,273.0,1.32,11.4,22.21,,,,-0.00633625,5.70621,1
(2008 LG2),3413165.0,1,0,0.851,0.23,3.06,0.656,1.05,287.0,1.26,252.0,25.34,,,,-0.0264109,5.70286,1
(1999 SH10),3022971.0,1,0,1.1,0.131,9.59,0.955,1.24,421.0,0.856,313.0,22.75,,,0.1264,-0.00245949,5.69547,1
350751 (2002 AW),20350751.0,1,1,1.07,0.257,0.574,0.796,1.35,405.0,0.889,37.7,20.82,,,4.647,-0.00240204,5.66811,1
306383 (1993 VD),20306383.0,1,1,0.876,0.552,2.07,0.393,1.36,299.0,1.2,127.0,21.49,,,0.94345,-0.00163629,5.65166,1
138852 (2000 WN10),20138852.0,1,0,1.0,0.298,21.5,0.703,1.3,366.0,0.983,91.1,20.3,,,4.4622,0.0015861,5.64061,1
443880 (2001 UZ16),20443880.0,1,1,1.76,0.427,12.7,1.01,2.51,853.0,0.422,129.0,19.38,0.228,0.593,13.719,-0.00204591,5.61833,1
(1997 XE10),3007642.0,1,0,1.87,0.478,6.29,0.977,2.77,935.0,0.385,328.0,24.53,,,,0.0286585,5.60775,0
416002 (2002 BN),20416002.0,1,0,0.875,0.546,27.8,0.397,1.35,299.0,1.2,305.0,20.49,,,,-0.00414861,5.59705,1
465617 (2009 EK1),20465617.0,1,1,1.24,0.229,9.12,0.957,1.53,505.0,0.713,155.0,21.36,,,,-0.0045441,5.58549,0
614470 Flordeneu (2009 ST19),20614470.0,1,1,2.36,0.595,6.73,0.954,3.76,1320.0,0.272,168.0,18.38,,,,0.0140767,5.57772,0
